0,title,artist,genre,bpm,nrgy,dnce,live,val,dur,acous,spch,pop,artist_code,genre_code
0,Hey Soul Sister,Train,neo mellow,97,89,67,8,80,217,19,4,83,174,46
1,Love The Way You Lie,Eminem,detroit hip hop,87,93,75,52,64,263,24,23,82,49,27
2,TiK ToK,Kesha,dance pop,120,84,76,29,71,200,10,14,80,89,25
3,Bad Romance,Lady Gaga,dance pop,119,92,70,8,71,295,0,4,79,94,25
4,Just the Way You Are,Bruno Mars,pop,109,84,64,9,43,221,2,4,78,19,48
5,Dynamite,Taio Cruz,dance pop,120,78,75,4,82,203,0,9,77,165,25
6,Secrets,OneRepublic,dance pop,148,76,52,12,38,225,7,4,77,135,25
7,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,93,37,48,12,14,216,74,3,76,8,38
8,Only Girl (In The World),Rihanna,barbadian pop,126,72,79,7,61,235,13,4,73,145,8
9,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,128,87,62,6,47,235,3,3,73,54,25
10,Baby,Justin Bieber,canadian pop,65,86,73,11,54,214,4,14,77,83,18
11,Marry You,Bruno Mars,pop,145,83,62,10,48,230,33,4,73,19,48
12,Cooler Than Me - Single Mix,Mike Posner,dance pop,130,82,77,70,63,213,18,5,73,120,25
13,Telephone,Lady Gaga,dance pop,122,83,83,11,71,221,1,4,73,94,25
14,Like A G6,Far East Movement,dance pop,125,84,44,12,78,217,1,45,72,51,25
15,OMG (feat. will.i.am),Usher,atl hip hop,130,75,78,36,33,269,20,3,72,176,4
16,Eenie Meenie,Sean Kingston,dance pop,121,61,72,11,83,202,5,3,71,153,25
17,The Time (Dirty Bit),The Black Eyed Peas,dance pop,128,81,82,60,44,308,7,7,70,167,25
18,Alejandro,Lady Gaga,dance pop,99,80,63,36,37,274,0,5,69,94,25
19,Your Love Is My Drug,Kesha,dance pop,120,61,83,9,76,187,1,10,69,89,25
20,Meet Me Halfway,The Black Eyed Peas,dance pop,130,63,80,32,40,284,0,7,68,167,25
21,Whataya Want from Me,Adam Lambert,australian pop,186,68,44,6,45,227,1,5,66,3,7
22,Take It Off,Kesha,dance pop,125,68,73,9,74,215,0,3,66,89,25
23,Misery,Maroon 5,pop,103,81,70,22,73,216,0,4,65,114,48
24,All The Right Moves,OneRepublic,dance pop,146,95,53,28,65,238,26,5,65,135,25
25,Animal,Neon Trees,indie pop,148,83,48,38,74,212,0,4,65,129,41
26,Naturally,Selena Gomez & The Scene,dance pop,133,90,61,5,88,203,2,5,64,155,25
27,I Like It,Enrique Iglesias,dance pop,129,94,65,6,73,231,2,9,63,50,25
28,Teenage Dream,Katy Perry,dance pop,120,80,72,13,59,228,2,4,63,86,25
29,California Gurls,Katy Perry,dance pop,125,75,79,18,40,235,0,5,62,86,25
30,3,Britney Spears,dance pop,135,71,70,14,79,213,5,5,62,18,25
31,My First Kiss - feat. Ke$ha,3OH!3,dance pop,138,89,68,36,83,192,1,8,62,0,25
32,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,120,84,75,42,52,172,8,12,62,89,25
33,Imma Be,The Black Eyed Peas,dance pop,92,52,60,31,41,258,18,37,62,167,25
34,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,111,82,50,13,55,249,16,11,62,8,38
35,Sexy Bitch (feat. Akon),David Guetta,dance pop,130,63,81,13,80,196,8,5,61,41,25
36,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,164,41,29,13,7,264,83,3,61,30,25
37,If I Had You,Adam Lambert,australian pop,131,91,65,37,79,228,1,11,59,3,7
38,Rock That Body,The Black Eyed Peas,dance pop,125,91,72,43,84,269,2,10,59,167,25
39,Dog Days Are Over,Florence + The Machine,art pop,150,81,50,12,26,253,3,9,58,55,3
40,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,150,85,51,12,72,185,47,27,58,30,25
41,Doesn't Mean Anything,Alicia Keys,hip pop,104,41,71,10,10,273,4,3,57,8,38
42,Hard,Rihanna,barbadian pop,182,75,31,65,16,251,1,11,57,145,8
43,Loca,Shakira,colombian pop,112,87,80,9,85,193,19,7,56,156,22
44,You Lost Me,Christina Aguilera,dance pop,43,39,23,14,7,257,85,4,56,30,25
45,Not Myself Tonight,Christina Aguilera,dance pop,120,81,76,56,54,186,0,4,55,30,25
46,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,91,95,64,18,57,220,6,7,52,172,25
